# S3M Vendor Repos Manifest
# Auto-generated from packages/integrations/*/*/manifest.yaml
# Format: domain|slug|url|license|name
# Total entries: 447
# Generated: 2026-04-10T09:16:48.296924+00:00
autonomy|awesome-behavior-trees|https://github.com/BehaviorTree/awesome-behavior-trees|MIT|awesome-behavior-trees
autonomy|behaviortree.cpp|https://github.com/BehaviorTree/BehaviorTree.CPP|MIT|BehaviorTree.CPP
autonomy|behaviortree.ros2|https://github.com/BehaviorTree/BehaviorTree.ROS2|MIT|BehaviorTree.ROS2
autonomy|eli5|https://github.com/TeamHG-Memex/eli5|MIT|ELI5
autonomy|groot|https://github.com/BehaviorTree/Groot|MIT|Groot
autonomy|gym-pybullet-drones|https://github.com/utiasDSL/gym-pybullet-drones|MIT|gym-pybullet-drones
autonomy|intel-xai-tools|https://github.com/intel/intel-xai-tools|Apache 2.0|intel-xai-tools
autonomy|interpretml|https://github.com/interpretml/interpret|MIT|InterpretML
autonomy|marllib|https://github.com/Replicable-MARL/MARLlib|MIT|MARLlib
autonomy|nav2-behavior-tree|https://github.com/ros-planning/navigation2(nav2_behavior_tree|BSD|nav2_behavior_tree
autonomy|openrl|https://github.com/OpenRL-Lab/openrl|Apache 2.0|openrl
autonomy|pantheonrl|https://github.com/Stanford-ILIAD/PantheonRL|MIT|PantheonRL
autonomy|pettingzoo|https://github.com/Farama-Foundation/PettingZoo(maintained|MIT|PettingZoo
autonomy|pr-behavior-tree|https://github.com/personalrobotics/pr_behavior_tree|MIT|pr_behavior_tree
autonomy|py-trees|https://github.com/splintered-reality/py_trees|BSD|py_trees
autonomy|py-trees-ros|https://github.com/splintered-reality/py_trees_ros|BSD|py_trees_ros
autonomy|ray-with-rllib|https://github.com/ray-project/ray|Apache 2.0|ray (with RLlib)
autonomy|rl-baselines3-zoo|https://github.com/DLR-RM/rl-baselines3-zoo|MIT|rl-baselines3-zoo
autonomy|spot-bt-ros|https://github.com/sandialabs/spot_bt_ros|Apache 2.0|spot_bt_ros
autonomy|stable-baselines3|https://github.com/DLR-RM/stable-baselines3|MIT|stable-baselines3
autonomy|trustyai-explainability|https://github.com/trustyai-explainability/trustyai-explainability|Apache 2.0|trustyai-explainability
autonomy|xai-cybersecurity|https://github.com/ivoafonsobispo/XAI-Cybersecurity|MIT|XAI-Cybersecurity
autonomy|xai-ethicalml|https://github.com/EthicalML/xai|MIT|xai (EthicalML)
autonomy|xai-lib|https://github.com/kdd-lab/XAI-Lib|MIT|XAI-Lib
comms|arabic-resources|https://github.com/NNLP-IL/Arabic-Resources|Unknown|Arabic-Resources
comms|arabic-summarization-with-arabert|https://github.com/aliasharf123/arabic-summarization-with-araBert|Unknown|arabic-summarization-with-araBert
comms|arabic-text-classification-summarization|https://github.com/NouraAbuthnain/arabic-text-classification-summarization|Unknown|arabic-text-classification-summarization
comms|awesome-xmpp|https://github.com/bluszcz/awesome-xmpp|Unknown|awesome-xmpp
comms|berty|https://github.com/berty/berty|Unknown|berty
comms|c2-chatbot|https://github.com/traiannicula/c2_chatbot|Unknown|c2_chatbot
comms|camelbert|https://github.com/CAMeL-Lab/CAMeLBERT|Unknown|CAMeLBERT
comms|chatmail-relay|https://github.com/chatmail/relay|Unknown|chatmail/relay
comms|chitchatter|https://github.com/jeremyckahn/chitchatter|Unknown|chitchatter
comms|covert-c2|https://github.com/efchatz/Covert-C2|Unknown|Covert-C2
comms|destroyer-p2p|https://github.com/Destroyer-official/Destroyer_P2P|Unknown|Destroyer_P2P
comms|destroyer-p2p-extensions|https://github.com/Destroyer-official/Destroyer_P2P|Unknown|Destroyer_P2P (extensions)
comms|ejabberd|https://github.com/processone/ejabberd|Unknown|ejabberd
comms|enchat|https://github.com/sudodevdante/enchat|Unknown|enchat
comms|enchat-extensions|https://github.com/sudodevdante/enchat|Unknown|enchat (extensions)
comms|libsignal|https://github.com/signalapp/libsignal|Unknown|libsignal
comms|meshtastic|https://github.com/meshtastic/meshtastic|Unknown|meshtastic
comms|mt5-small-arabic-summarization|https://github.com/yalsaffar/mt5-small-Arabic-Summarization|Unknown|mt5-small-Arabic-Summarization
comms|mxbridge|https://github.com/djmaze/mxbridge|Unknown|mxbridge
comms|ninja|https://github.com/ahmedkhlief/Ninja|Unknown|Ninja
comms|nlp-arabic-text-summarization-using-arab|https://github.com/asma-10/NLP-Arabic-text-summarization-using-araBART-|Unknown|NLP-Arabic-text-summarization-using-araBART
comms|nostr-p2p|https://github.com/cmdruid/nostr-p2p|Unknown|nostr-p2p
comms|prosody|https://github.com/prosody/prosody (core)|Unknown|prosody
comms|relaysms-android|https://github.com/smswithoutborders/SMSwithoutBorders-Android|Unknown|RelaySMS-Android
comms|rocket.chat|https://github.com/rocketchat/rocket.chat|Unknown|rocket.chat
comms|simplex-chat|https://github.com/simplex-chat/simplex-chat|Unknown|simplex-chat
comms|sremp|https://github.com/PlexSheep/SREMP|Unknown|SREMP
comms|synapse-matrix-homeserver|https://github.com/element-hq/synapse|Unknown|synapse (Matrix homeserver)
comms|talkkonnect|https://github.com/talkkonnect/talkkonnect|Unknown|talkkonnect
comms|tfc-tinfoil-chat|https://github.com/maqp/tfc|Unknown|tfc (Tinfoil Chat)
comms|wsc2|https://github.com/Arno0x/WSC2|Unknown|WSC2
core_tooling|accelerate|https://github.com/huggingface/accelerate|Unknown|Accelerate
core_tooling|bitsandbytes|https://github.com/TimDettmers/bitsandbytes|Unknown|BitsAndBytes
core_tooling|datasets|https://github.com/huggingface/datasets|Unknown|Datasets
core_tooling|hugging-face-hub|https://github.com/huggingface/huggingface_hub|Unknown|Hugging Face Hub
core_tooling|hugging-face-transformers|https://github.com/huggingface/transformers|Unknown|Hugging Face Transformers
core_tooling|mergekit|https://github.com/arcee-ai/mergekit|Unknown|Mergekit
core_tooling|peft-parameter-efficient-fine-tuning|https://github.com/huggingface/peft|Unknown|PEFT (Parameter-Efficient Fine-Tuning)
core_tooling|trl-transformers-reinforcement-learning|https://github.com/huggingface/trl|Unknown|TRL (Transformers Reinforcement Learning)
core_tooling|unsloth|https://github.com/unslothai/unsloth|Unknown|Unsloth
cyber|awesome-incident-response|https://github.com/meirwah/awesome-incident-response|Unknown|awesome-incident-response
cyber|awesome-siem|https://github.com/cybersader/awesome-siem|Unknown|awesome-siem
cyber|cortex|https://github.com/TheHive-Project/Cortex|Unknown|Cortex
cyber|cybersim-soc-simulator|https://github.com/TheGhostPacket/cybersim-soc-simulator|Unknown|cybersim-soc-simulator
cyber|cyberthreatintelligence|https://github.com/Knoxpix/CyberThreatIntelligence|Unknown|CyberThreatIntelligence
